win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
1,1489,9997,8342,2,1,1,2015/2016,Sint-Truidense VV,Club Brugge KV
1,1490,8571,9985,2,1,1,2015/2016,KV Kortrijk,Standard de Liège
1,1491,9987,1773,3,1,1,2015/2016,KRC Genk,Oud-Heverlee Leuven
1,1492,8573,8203,3,1,1,2015/2016,KV Oostende,KV Mechelen
1,1493,10000,9994,3,1,1,2015/2016,SV Zulte-Waregem,Sporting Lokeren
3,1494,10001,9991,1,1,1,2015/2016,KVC Westerlo,KAA Gent
1,1495,8635,8475,3,2,1,2015/2016,RSC Anderlecht,Waasland-Beveren
1,1496,9986,274581,2,1,1,2015/2016,Sporting Charleroi,Royal Excel Mouscron
3,1497,8635,8203,1,1,1,2015/2016,RSC Anderlecht,KV Mechelen
1,1498,9991,8342,4,1,1,2015/2016,KAA Gent,Club Brugge KV
1,1499,9987,9985,3,1,1,2015/2016,KRC Genk,Standard de Liège
1,1500,8573,9994,2,0,1,2015/2016,KV Oostende,Sporting Lokeren
1,1501,9986,10000,3,0,1,2015/2016,Sporting Charleroi,SV Zulte-Waregem
3,1502,1773,274581,1,1,1,2015/2016,Oud-Heverlee Leuven,Royal Excel Mouscron
3,1503,10001,8571,1,1,1,2015/2016,KVC Westerlo,KV Kortrijk
2,1504,9997,8475,1,3,1,2015/2016,Sint-Truidense VV,Waasland-Beveren
1,1505,8342,8573,1,0,1,2015/2016,Club Brugge KV,KV Oostende
2,1506,9985,10001,1,2,1,2015/2016,Standard de Liège,KVC Westerlo
1,1507,8203,9997,3,0,1,2015/2016,KV Mechelen,Sint-Truidense VV
2,1508,10000,8635,0,4,1,2015/2016,SV Zulte-Waregem,RSC Anderlecht
2,1509,274581,9991,1,2,1,2015/2016,Royal Excel Mouscron,KAA Gent
2,1510,9994,1773,1,2,1,2015/2016,Sporting Lokeren,Oud-Heverlee Leuven
1,1511,8571,9986,2,0,1,2015/2016,KV Kortrijk,Sporting Charleroi
2,1512,8475,9987,0,1,1,2015/2016,Waasland-Beveren,KRC Genk
1,1513,8635,8342,3,1,1,2015/2016,RSC Anderlecht,Club Brugge KV
3,1514,9991,8573,2,2,1,2015/2016,KAA Gent,KV Oostende
2,1515,9987,274581,0,4,1,2015/2016,KRC Genk,Royal Excel Mouscron
2,1516,8203,10000,3,4,1,2015/2016,KV Mechelen,SV Zulte-Waregem
2,1517,9986,9985,2,3,1,2015/2016,Sporting Charleroi,Standard de Liège
2,1518,1773,8475,0,2,1,2015/2016,Oud-Heverlee Leuven,Waasland-Beveren
2,1519,10001,9994,1,2,1,2015/2016,KVC Westerlo,Sporting Lokeren
1,1520,9997,8571,2,1,1,2015/2016,Sint-Truidense VV,KV Kortrijk
1,1521,8342,1773,2,0,1,2015/2016,Club Brugge KV,Oud-Heverlee Leuven
1,1522,9985,8203,2,1,1,2015/2016,Standard de Liège,KV Mechelen
1,1523,8573,9987,3,2,1,2015/2016,KV Oostende,KRC Genk
1,1524,10000,9997,4,0,1,2015/2016,SV Zulte-Waregem,Sint-Truidense VV
3,1525,274581,10001,2,2,1,2015/2016,Royal Excel Mouscron,KVC Westerlo
2,1526,9994,9991,1,2,1,2015/2016,Sporting Lokeren,KAA Gent
3,1527,8571,8635,1,1,1,2015/2016,KV Kortrijk,RSC Anderlecht
2,1528,8475,9986,0,1,1,2015/2016,Waasland-Beveren,Sporting Charleroi
1,1529,8635,274581,2,0,1,2015/2016,RSC Anderlecht,Royal Excel Mouscron
2,1530,9987,9994,0,2,1,2015/2016,KRC Genk,Sporting Lokeren
1,1531,8203,8475,2,0,1,2015/2016,KV Mechelen,Waasland-Beveren
3,1532,10000,8571,2,2,1,2015/2016,SV Zulte-Waregem,KV Kortrijk
3,1533,9986,8573,1,1,1,2015/2016,Sporting Charleroi,KV Oostende
2,1534,1773,9991,0,2,1,2015/2016,Oud-Heverlee Leuven,KAA Gent
2,1535,10001,8342,0,2,1,2015/2016,KVC Westerlo,Club Brugge KV
1,1536,9997,9985,1,0,1,2015/2016,Sint-Truidense VV,Standard de Liège
1,1537,8342,9987,1,0,1,2015/2016,Club Brugge KV,KRC Genk
1,1538,9985,8635,1,0,1,2015/2016,Standard de Liège,RSC Anderlecht
2,1539,9991,9986,1,3,1,2015/2016,KAA Gent,Sporting Charleroi
1,1540,8573,1773,3,0,1,2015/2016,KV Oostende,Oud-Heverlee Leuven
3,1541,274581,10000,2,2,1,2015/2016,Royal Excel Mouscron,SV Zulte-Waregem
3,1542,9994,9997,1,1,1,2015/2016,Sporting Lokeren,Sint-Truidense VV
1,1543,8571,8203,1,0,1,2015/2016,KV Kortrijk,KV Mechelen
3,1544,8475,10001,2,2,1,2015/2016,Waasland-Beveren,KVC Westerlo
1,1545,8342,10000,3,0,1,2015/2016,Club Brugge KV,SV Zulte-Waregem
3,1546,9985,8571,1,1,1,2015/2016,Standard de Liège,KV Kortrijk
1,1547,9991,10001,5,0,1,2015/2016,KAA Gent,KVC Westerlo
1,1548,8203,8573,2,1,1,2015/2016,KV Mechelen,KV Oostende
2,1549,274581,9986,0,1,1,2015/2016,Royal Excel Mouscron,Sporting Charleroi
3,1550,9994,8635,1,1,1,2015/2016,Sporting Lokeren,RSC Anderlecht
2,1551,1773,9987,1,3,1,2015/2016,Oud-Heverlee Leuven,KRC Genk
1,1552,8475,9997,2,1,1,2015/2016,Waasland-Beveren,Sint-Truidense VV
1,1553,8635,1773,3,2,1,2015/2016,RSC Anderlecht,Oud-Heverlee Leuven
2,1554,9987,9991,0,1,1,2015/2016,KRC Genk,KAA Gent
2,1555,8203,8342,1,4,1,2015/2016,KV Mechelen,Club Brugge KV
2,1556,10000,9985,2,3,1,2015/2016,SV Zulte-Waregem,Standard de Liège
1,1557,8571,8475,3,1,1,2015/2016,KV Kortrijk,Waasland-Beveren
2,1558,9986,9994,1,2,1,2015/2016,Sporting Charleroi,Sporting Lokeren
2,1559,10001,8573,0,1,1,2015/2016,KVC Westerlo,KV Oostende
2,1560,9997,274581,0,1,1,2015/2016,Sint-Truidense VV,Royal Excel Mouscron
1,1561,8342,9986,2,1,1,2015/2016,Club Brugge KV,Sporting Charleroi
3,1562,9991,10000,2,2,1,2015/2016,KAA Gent,SV Zulte-Waregem
3,1563,9987,8635,0,0,1,2015/2016,KRC Genk,RSC Anderlecht
2,1564,8573,9997,1,2,1,2015/2016,KV Oostende,Sint-Truidense VV
2,1565,274581,8203,2,3,1,2015/2016,Royal Excel Mouscron,KV Mechelen
1,1566,9994,8571,3,1,1,2015/2016,Sporting Lokeren,KV Kortrijk
1,1567,1773,10001,5,1,1,2015/2016,Oud-Heverlee Leuven,KVC Westerlo
3,1568,8475,9985,0,0,1,2015/2016,Waasland-Beveren,Standard de Liège
3,1569,8635,8573,1,1,1,2015/2016,RSC Anderlecht,KV Oostende
1,1570,9985,8342,2,0,1,2015/2016,Standard de Liège,Club Brugge KV
3,1571,8203,9994,1,1,1,2015/2016,KV Mechelen,Sporting Lokeren
1,1572,10000,8475,2,1,1,2015/2016,SV Zulte-Waregem,Waasland-Beveren
2,1573,8571,274581,1,3,1,2015/2016,KV Kortrijk,Royal Excel Mouscron
1,1574,9986,1773,2,1,1,2015/2016,Sporting Charleroi,Oud-Heverlee Leuven
3,1575,10001,9987,0,0,1,2015/2016,KVC Westerlo,KRC Genk
2,1576,9997,9991,0,2,1,2015/2016,Sint-Truidense VV,KAA Gent
1,1577,9991,9987,1,0,1,2015/2016,KAA Gent,KRC Genk
1,1578,8342,8203,3,0,1,2015/2016,Club Brugge KV,KV Mechelen
1,1579,8475,8571,2,1,1,2015/2016,Waasland-Beveren,KV Kortrijk
1,1580,8573,10001,2,1,1,2015/2016,KV Oostende,KVC Westerlo
2,1581,274581,9997,0,2,1,2015/2016,Royal Excel Mouscron,Sint-Truidense VV
3,1582,9994,9986,2,2,1,2015/2016,Sporting Lokeren,Sporting Charleroi
1,1583,9985,10000,2,1,1,2015/2016,Standard de Liège,SV Zulte-Waregem
2,1584,1773,8635,0,2,1,2015/2016,Oud-Heverlee Leuven,RSC Anderlecht
2,1585,8342,8635,1,4,1,2015/2016,Club Brugge KV,RSC Anderlecht
1,1586,9991,8571,3,0,1,2015/2016,KAA Gent,KV Kortrijk
1,1587,9987,9997,3,0,1,2015/2016,KRC Genk,Sint-Truidense VV
1,1588,8573,9985,4,1,1,2015/2016,KV Oostende,Standard de Liège
2,1589,274581,8475,0,1,1,2015/2016,Royal Excel Mouscron,Waasland-Beveren
3,1590,9994,10000,1,1,1,2015/2016,Sporting Lokeren,SV Zulte-Waregem
1,1591,1773,8203,3,1,1,2015/2016,Oud-Heverlee Leuven,KV Mechelen
1,1592,10001,9986,2,1,1,2015/2016,KVC Westerlo,Sporting Charleroi
1,1593,8635,10001,2,1,1,2015/2016,RSC Anderlecht,KVC Westerlo
1,1594,9985,274581,3,0,1,2015/2016,Standard de Liège,Royal Excel Mouscron
1,1595,8203,9991,2,0,1,2015/2016,KV Mechelen,KAA Gent
1,1596,10000,8573,1,0,1,2015/2016,SV Zulte-Waregem,KV Oostende
2,1597,8571,8342,1,4,1,2015/2016,KV Kortrijk,Club Brugge KV
1,1598,9986,9987,1,0,1,2015/2016,Sporting Charleroi,KRC Genk
2,1599,8475,9994,2,3,1,2015/2016,Waasland-Beveren,Sporting Lokeren
3,1600,9997,1773,2,2,1,2015/2016,Sint-Truidense VV,Oud-Heverlee Leuven
1,1601,8342,274581,3,0,1,2015/2016,Club Brugge KV,Royal Excel Mouscron
1,1602,9991,8635,2,0,1,2015/2016,KAA Gent,RSC Anderlecht
1,1603,9987,10000,2,1,1,2015/2016,KRC Genk,SV Zulte-Waregem
3,1604,8573,8475,3,3,1,2015/2016,KV Oostende,Waasland-Beveren
2,1605,9994,9985,0,2,1,2015/2016,Sporting Lokeren,Standard de Liège
3,1606,9986,9997,0,0,1,2015/2016,Sporting Charleroi,Sint-Truidense VV
1,1607,1773,8571,1,0,1,2015/2016,Oud-Heverlee Leuven,KV Kortrijk
1,1608,10001,8203,3,2,1,2015/2016,KVC Westerlo,KV Mechelen
1,1609,8635,9986,2,1,1,2015/2016,RSC Anderlecht,Sporting Charleroi
2,1610,9985,9991,0,3,1,2015/2016,Standard de Liège,KAA Gent
3,1611,8203,9987,1,1,1,2015/2016,KV Mechelen,KRC Genk
3,1612,10000,1773,2,2,1,2015/2016,SV Zulte-Waregem,Oud-Heverlee Leuven
