points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_name,team_long_name1
1,1,9987,9993,1,1,1,2008/2009,Beerschot AC,KRC Genk
1,2,10000,9994,0,0,1,2008/2009,Sporting Lokeren,SV Zulte-Waregem
3,3,9984,8635,0,3,1,2008/2009,RSC Anderlecht,KSV Cercle Brugge
0,4,9991,9998,5,0,1,2008/2009,RAEC Mons,KAA Gent
3,5,7947,9985,1,3,1,2008/2009,Standard de Liège,FCV Dender EH
1,6,8203,8342,1,1,1,2008/2009,Club Brugge KV,KV Mechelen
1,7,9999,8571,2,2,1,2008/2009,KV Kortrijk,KSV Roeselare
3,8,4049,9996,1,2,1,2008/2009,Royal Excel Mouscron,Tubize
0,9,10001,9986,1,0,1,2008/2009,Sporting Charleroi,KVC Westerlo
0,10,8342,8571,4,1,1,2008/2009,KV Kortrijk,Club Brugge KV
3,11,9985,9986,1,2,1,2008/2009,Sporting Charleroi,Standard de Liège
3,12,10000,9991,0,2,1,2008/2009,KAA Gent,SV Zulte-Waregem
1,13,9994,9998,0,0,1,2008/2009,RAEC Mons,Sporting Lokeren
1,14,7947,10001,2,2,1,2008/2009,KVC Westerlo,FCV Dender EH
3,15,8203,9999,1,2,1,2008/2009,KSV Roeselare,KV Mechelen
3,16,9996,9984,0,1,1,2008/2009,KSV Cercle Brugge,Royal Excel Mouscron
3,17,4049,9987,1,3,1,2008/2009,KRC Genk,Tubize
3,18,9993,8635,1,3,1,2008/2009,RSC Anderlecht,Beerschot AC
3,19,8635,9994,2,3,1,2008/2009,Sporting Lokeren,RSC Anderlecht
1,20,9998,9996,0,0,1,2008/2009,Royal Excel Mouscron,RAEC Mons
1,21,9986,8342,2,2,1,2008/2009,Club Brugge KV,Sporting Charleroi
0,22,9984,10000,2,0,1,2008/2009,SV Zulte-Waregem,KSV Cercle Brugge
1,23,9991,7947,1,1,1,2008/2009,FCV Dender EH,KAA Gent
3,24,9999,4049,1,2,1,2008/2009,Tubize,KSV Roeselare
1,25,8571,8203,0,0,1,2008/2009,KV Mechelen,KV Kortrijk
0,26,10001,9987,1,0,1,2008/2009,KRC Genk,KVC Westerlo
3,27,9993,9985,1,3,1,2008/2009,Standard de Liège,Beerschot AC
1,28,8342,8635,1,1,1,2008/2009,RSC Anderlecht,Club Brugge KV
1,29,9987,9999,1,1,1,2008/2009,KSV Roeselare,KRC Genk
1,30,10000,9993,2,2,1,2008/2009,Beerschot AC,SV Zulte-Waregem
1,31,9994,9985,1,1,1,2008/2009,Standard de Liège,Sporting Lokeren
0,32,7947,8571,1,0,1,2008/2009,KV Kortrijk,FCV Dender EH
1,33,8203,9998,0,0,1,2008/2009,RAEC Mons,KV Mechelen
0,34,9996,9986,2,1,1,2008/2009,Sporting Charleroi,Royal Excel Mouscron
0,35,4049,9984,3,0,1,2008/2009,KSV Cercle Brugge,Tubize
0,36,10001,9991,3,2,1,2008/2009,KAA Gent,KVC Westerlo
0,37,8635,10001,2,0,1,2008/2009,KVC Westerlo,RSC Anderlecht
0,38,9985,9996,3,1,1,2008/2009,Royal Excel Mouscron,Standard de Liège
3,39,9998,8342,1,2,1,2008/2009,Club Brugge KV,RAEC Mons
0,40,9986,4049,3,2,1,2008/2009,Tubize,Sporting Charleroi
0,41,9984,8203,2,1,1,2008/2009,KV Mechelen,KSV Cercle Brugge
3,42,9991,9987,2,3,1,2008/2009,KRC Genk,KAA Gent
