points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,home_team,team_long_name1
0,1489,9997,8342,2,1,1,2015/2016,Club Brugge KV,Sint-Truidense VV
0,1490,8571,9985,2,1,1,2015/2016,Standard de Liège,KV Kortrijk
0,1491,9987,1773,3,1,1,2015/2016,Oud-Heverlee Leuven,KRC Genk
0,1492,8573,8203,3,1,1,2015/2016,KV Mechelen,KV Oostende
0,1493,10000,9994,3,1,1,2015/2016,Sporting Lokeren,SV Zulte-Waregem
1,1494,10001,9991,1,1,1,2015/2016,KAA Gent,KVC Westerlo
0,1495,8635,8475,3,2,1,2015/2016,Waasland-Beveren,RSC Anderlecht
0,1496,9986,274581,2,1,1,2015/2016,Royal Excel Mouscron,Sporting Charleroi
1,1497,8635,8203,1,1,1,2015/2016,KV Mechelen,RSC Anderlecht
0,1498,9991,8342,4,1,1,2015/2016,Club Brugge KV,KAA Gent
0,1499,9987,9985,3,1,1,2015/2016,Standard de Liège,KRC Genk
0,1500,8573,9994,2,0,1,2015/2016,Sporting Lokeren,KV Oostende
0,1501,9986,10000,3,0,1,2015/2016,SV Zulte-Waregem,Sporting Charleroi
1,1502,1773,274581,1,1,1,2015/2016,Royal Excel Mouscron,Oud-Heverlee Leuven
1,1503,10001,8571,1,1,1,2015/2016,KV Kortrijk,KVC Westerlo
3,1504,9997,8475,1,3,1,2015/2016,Waasland-Beveren,Sint-Truidense VV
0,1505,8342,8573,1,0,1,2015/2016,KV Oostende,Club Brugge KV
3,1506,9985,10001,1,2,1,2015/2016,KVC Westerlo,Standard de Liège
0,1507,8203,9997,3,0,1,2015/2016,Sint-Truidense VV,KV Mechelen
3,1508,10000,8635,0,4,1,2015/2016,RSC Anderlecht,SV Zulte-Waregem
3,1509,274581,9991,1,2,1,2015/2016,KAA Gent,Royal Excel Mouscron
3,1510,9994,1773,1,2,1,2015/2016,Oud-Heverlee Leuven,Sporting Lokeren
0,1511,8571,9986,2,0,1,2015/2016,Sporting Charleroi,KV Kortrijk
3,1512,8475,9987,0,1,1,2015/2016,KRC Genk,Waasland-Beveren
0,1513,8635,8342,3,1,1,2015/2016,Club Brugge KV,RSC Anderlecht
1,1514,9991,8573,2,2,1,2015/2016,KV Oostende,KAA Gent
3,1515,9987,274581,0,4,1,2015/2016,Royal Excel Mouscron,KRC Genk
3,1516,8203,10000,3,4,1,2015/2016,SV Zulte-Waregem,KV Mechelen
3,1517,9986,9985,2,3,1,2015/2016,Standard de Liège,Sporting Charleroi
3,1518,1773,8475,0,2,1,2015/2016,Waasland-Beveren,Oud-Heverlee Leuven
3,1519,10001,9994,1,2,1,2015/2016,Sporting Lokeren,KVC Westerlo
0,1520,9997,8571,2,1,1,2015/2016,KV Kortrijk,Sint-Truidense VV
0,1521,8342,1773,2,0,1,2015/2016,Oud-Heverlee Leuven,Club Brugge KV
0,1522,9985,8203,2,1,1,2015/2016,KV Mechelen,Standard de Liège
0,1523,8573,9987,3,2,1,2015/2016,KRC Genk,KV Oostende
