win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
1,9951,9823,9790,5,0,7809,2015/2016,FC Bayern Munich,Hamburger SV
1,9952,9789,9788,4,0,7809,2015/2016,Borussia Dortmund,Borussia Mönchengladbach
1,9953,8178,8226,2,1,7809,2015/2016,Bayer 04 Leverkusen,TSG 1899 Hoffenheim
1,9954,8721,9810,2,1,7809,2015/2016,VfL Wolfsburg,Eintracht Frankfurt
2,9955,10269,8722,1,3,7809,2015/2016,VfB Stuttgart,1. FC Köln
2,9956,8406,8177,0,1,7809,2015/2016,FC Augsburg,Hertha BSC Berlin
2,9957,8697,10189,0,3,7809,2015/2016,SV Werder Bremen,FC Schalke 04
2,9958,9905,8234,0,1,7809,2015/2016,1. FSV Mainz 05,FC Ingolstadt 04
3,9959,8262,9904,2,2,7809,2015/2016,SV Darmstadt 98,Hannover 96
1,9960,9823,8722,4,0,7809,2015/2016,FC Bayern Munich,1. FC Köln
1,9961,9789,8406,5,1,7809,2015/2016,Borussia Dortmund,FC Augsburg
1,9962,8178,10269,4,3,7809,2015/2016,Bayer 04 Leverkusen,VfB Stuttgart
1,9963,9788,10189,3,1,7809,2015/2016,Borussia Mönchengladbach,FC Schalke 04
2,9964,9904,9810,1,2,7809,2015/2016,Hannover 96,Eintracht Frankfurt
2,9965,8226,9790,0,1,7809,2015/2016,TSG 1899 Hoffenheim,Hamburger SV
2,9966,9905,8697,1,3,7809,2015/2016,1. FSV Mainz 05,SV Werder Bremen
2,9967,8234,8177,0,1,7809,2015/2016,FC Ingolstadt 04,Hertha BSC Berlin
2,9968,8262,8721,0,1,7809,2015/2016,SV Darmstadt 98,VfL Wolfsburg
3,9969,10189,8234,1,1,7809,2015/2016,FC Schalke 04,FC Ingolstadt 04
1,9970,8721,8178,2,1,7809,2015/2016,VfL Wolfsburg,Bayer 04 Leverkusen
2,9971,9790,9904,1,2,7809,2015/2016,Hamburger SV,Hannover 96
1,9972,10269,8262,2,0,7809,2015/2016,VfB Stuttgart,SV Darmstadt 98
3,9973,8406,9905,3,3,7809,2015/2016,FC Augsburg,1. FSV Mainz 05
2,9974,8697,9789,1,3,7809,2015/2016,SV Werder Bremen,Borussia Dortmund
3,9975,9810,9823,0,0,7809,2015/2016,Eintracht Frankfurt,FC Bayern Munich
3,9976,8722,8226,0,0,7809,2015/2016,1. FC Köln,TSG 1899 Hoffenheim
2,9977,8177,9788,1,4,7809,2015/2016,Hertha BSC Berlin,Borussia Mönchengladbach
1,9978,9823,10269,4,0,7809,2015/2016,FC Bayern Munich,VfB Stuttgart
1,9979,9789,10189,3,2,7809,2015/2016,Borussia Dortmund,FC Schalke 04
2,9980,8178,8722,1,2,7809,2015/2016,Bayer 04 Leverkusen,1. FC Köln
3,9981,9788,8234,0,0,7809,2015/2016,Borussia Mönchengladbach,FC Ingolstadt 04
2,9982,8406,8697,1,2,7809,2015/2016,FC Augsburg,SV Werder Bremen
2,9983,9904,8177,1,3,7809,2015/2016,Hannover 96,Hertha BSC Berlin
3,9984,8226,9810,0,0,7809,2015/2016,TSG 1899 Hoffenheim,Eintracht Frankfurt
1,9985,9905,8721,2,0,7809,2015/2016,1. FSV Mainz 05,VfL Wolfsburg
3,9986,8262,9790,1,1,7809,2015/2016,SV Darmstadt 98,Hamburger SV
2,9987,10189,9823,1,3,7809,2015/2016,FC Schalke 04,FC Bayern Munich
1,9988,9788,9904,2,1,7809,2015/2016,Borussia Mönchengladbach,Hannover 96
1,9989,8721,8697,6,0,7809,2015/2016,VfL Wolfsburg,SV Werder Bremen
1,9990,9790,9789,3,1,7809,2015/2016,Hamburger SV,Borussia Dortmund
2,9991,10269,8406,0,4,7809,2015/2016,VfB Stuttgart,FC Augsburg
2,9992,9810,8178,1,3,7809,2015/2016,Eintracht Frankfurt,Bayer 04 Leverkusen
3,9993,8722,9905,0,0,7809,2015/2016,1. FC Köln,1. FSV Mainz 05
1,9994,8177,8226,1,0,7809,2015/2016,Hertha BSC Berlin,TSG 1899 Hoffenheim
1,9995,8234,8262,3,1,7809,2015/2016,FC Ingolstadt 04,SV Darmstadt 98
1,9996,9823,8177,2,0,7809,2015/2016,FC Bayern Munich,Hertha BSC Berlin
1,9997,9789,10269,4,1,7809,2015/2016,Borussia Dortmund,VfB Stuttgart
3,9998,8178,10189,1,1,7809,2015/2016,Bayer 04 Leverkusen,FC Schalke 04
3,9999,8406,8721,0,0,7809,2015/2016,FC Augsburg,VfL Wolfsburg
2,10000,8697,9790,1,3,7809,2015/2016,SV Werder Bremen,Hamburger SV
1,10001,9904,8234,4,0,7809,2015/2016,Hannover 96,FC Ingolstadt 04
3,10002,8226,9788,3,3,7809,2015/2016,TSG 1899 Hoffenheim,Borussia Mönchengladbach
1,10003,9905,9810,2,1,7809,2015/2016,1. FSV Mainz 05,Eintracht Frankfurt
3,10004,8262,8722,0,0,7809,2015/2016,SV Darmstadt 98,1. FC Köln
1,10005,10189,9904,3,1,7809,2015/2016,FC Schalke 04,Hannover 96
1,10006,9788,9823,3,1,7809,2015/2016,Borussia Mönchengladbach,FC Bayern Munich
2,10007,8721,9789,1,2,7809,2015/2016,VfL Wolfsburg,Borussia Dortmund
2,10008,9790,9905,1,3,7809,2015/2016,Hamburger SV,1. FSV Mainz 05
3,10009,10269,8697,1,1,7809,2015/2016,VfB Stuttgart,SV Werder Bremen
2,10010,9810,8262,0,1,7809,2015/2016,Eintracht Frankfurt,SV Darmstadt 98
2,10011,8722,8406,0,1,7809,2015/2016,1. FC Köln,FC Augsburg
1,10012,8177,8178,2,1,7809,2015/2016,Hertha BSC Berlin,Bayer 04 Leverkusen
3,10013,8234,8226,1,1,7809,2015/2016,FC Ingolstadt 04,TSG 1899 Hoffenheim
1,10014,9823,8234,2,0,7809,2015/2016,FC Bayern Munich,FC Ingolstadt 04
1,10015,9789,9810,4,1,7809,2015/2016,Borussia Dortmund,Eintracht Frankfurt
1,10016,8178,9788,5,0,7809,2015/2016,Bayer 04 Leverkusen,Borussia Mönchengladbach
3,10017,8721,9790,1,1,7809,2015/2016,VfL Wolfsburg,Hamburger SV
1,10018,8406,10189,2,1,7809,2015/2016,FC Augsburg,FC Schalke 04
3,10019,8697,8722,1,1,7809,2015/2016,SV Werder Bremen,1. FC Köln
1,10020,8226,9904,1,0,7809,2015/2016,TSG 1899 Hoffenheim,Hannover 96
3,10021,9905,10269,0,0,7809,2015/2016,1. FSV Mainz 05,VfB Stuttgart
2,10022,8262,8177,0,4,7809,2015/2016,SV Darmstadt 98,Hertha BSC Berlin
1,10023,10189,8226,1,0,7809,2015/2016,FC Schalke 04,TSG 1899 Hoffenheim
1,10024,9788,8262,3,2,7809,2015/2016,Borussia Mönchengladbach,SV Darmstadt 98
2,10025,9790,8406,0,1,7809,2015/2016,Hamburger SV,FC Augsburg
1,10026,10269,8721,3,1,7809,2015/2016,VfB Stuttgart,VfL Wolfsburg
1,10027,9810,8697,2,1,7809,2015/2016,Eintracht Frankfurt,SV Werder Bremen
1,10028,8722,9789,2,1,7809,2015/2016,1. FC Köln,Borussia Dortmund
