win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name/0,team_long_name/1
2,4389,9825,8654,0,2,1729,2015/2016,Arsenal,West Ham United
2,4390,8678,10252,0,1,1729,2015/2016,Bournemouth,Aston Villa
3,4391,8455,10003,2,2,1729,2015/2016,Chelsea,Swansea City
3,4392,8668,9817,2,2,1729,2015/2016,Everton,Watford
1,4393,8197,8472,4,2,1729,2015/2016,Leicester City,Sunderland
1,4394,10260,8586,1,0,1729,2015/2016,Manchester United,Tottenham Hotspur
3,4395,10261,8466,2,2,1729,2015/2016,Newcastle United,Southampton
2,4396,9850,9826,1,3,1729,2015/2016,Norwich City,Crystal Palace
2,4397,10194,8650,0,1,1729,2015/2016,Stoke City,Liverpool
2,4398,8659,8456,0,3,1729,2015/2016,West Bromwich Albion,Manchester City
1,4399,9825,8668,2,1,1729,2015/2016,Arsenal,Everton
2,4400,10252,10003,1,2,1729,2015/2016,Aston Villa,Swansea City
2,4401,8678,8586,1,5,1729,2015/2016,Bournemouth,Tottenham Hotspur
1,4402,8197,9826,1,0,1729,2015/2016,Leicester City,Crystal Palace
3,4403,8650,8466,1,1,1729,2015/2016,Liverpool,Southampton
3,4404,10260,8456,0,0,1729,2015/2016,Manchester United,Manchester City
2,4405,9850,8659,0,1,1729,2015/2016,Norwich City,West Bromwich Albion
2,4406,10194,9817,0,2,1729,2015/2016,Stoke City,Watford
1,4407,8472,10261,3,0,1729,2015/2016,Sunderland,Newcastle United
1,4408,8654,8455,2,1,1729,2015/2016,West Ham United,Chelsea
2,4409,8455,8650,1,3,1729,2015/2016,Chelsea,Liverpool
3,4410,9826,10260,0,0,1729,2015/2016,Crystal Palace,Manchester United
1,4411,8668,8472,6,2,1729,2015/2016,Everton,Sunderland
1,4412,8456,9850,2,1,1729,2015/2016,Manchester City,Norwich City
3,4413,10261,10194,0,0,1729,2015/2016,Newcastle United,Stoke City
1,4414,8466,8678,2,0,1729,2015/2016,Southampton,Bournemouth
2,4415,10003,9825,0,3,1729,2015/2016,Swansea City,Arsenal
1,4416,8586,10252,3,1,1729,2015/2016,Tottenham Hotspur,Aston Villa
