win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name/0,team_long_name/1
1,7429,7794,9851,2,1,4769,2015/2016,SC Bastia,Stade Rennais FC
2,7430,9827,9837,1,2,4769,2015/2016,Girondins de Bordeaux,Stade de Reims
2,7431,8639,9847,0,1,4769,2015/2016,LOSC Lille,Paris Saint-Germain
3,7432,9748,8689,0,0,4769,2015/2016,Olympique Lyonnais,FC Lorient
2,7433,8592,7819,0,1,4769,2015/2016,Olympique de Marseille,SM Caen
2,7434,10249,8121,0,2,4769,2015/2016,Montpellier Hérault SC,Angers SCO
1,7435,9830,9747,1,0,4769,2015/2016,FC Nantes,En Avant de Guingamp
2,7436,9831,9829,1,2,4769,2015/2016,OGC Nice,AS Monaco
1,7437,9941,9853,2,1,4769,2015/2016,Toulouse FC,AS Saint-Étienne
3,7438,10242,6391,0,0,4769,2015/2016,ES Troyes AC,GFC Ajaccio
2,7439,7794,9847,0,2,4769,2015/2016,SC Bastia,Paris Saint-Germain
3,7440,9827,10249,0,0,4769,2015/2016,Girondins de Bordeaux,Montpellier Hérault SC
3,7441,9747,8639,1,1,4769,2015/2016,En Avant de Guingamp,LOSC Lille
3,7442,8592,8689,1,1,4769,2015/2016,Olympique de Marseille,FC Lorient
3,7443,9829,9748,1,1,4769,2015/2016,AS Monaco,Olympique Lyonnais
1,7444,9830,10242,3,0,4769,2015/2016,FC Nantes,ES Troyes AC
2,7445,9837,7819,0,1,4769,2015/2016,Stade de Reims,SM Caen
2,7446,9851,9831,1,4,4769,2015/2016,Stade Rennais FC,OGC Nice
1,7447,9853,6391,2,0,4769,2015/2016,AS Saint-Étienne,GFC Ajaccio
2,7448,9941,8121,1,2,4769,2015/2016,Toulouse FC,Angers SCO
3,7449,8121,9747,0,0,4769,2015/2016,Angers SCO,En Avant de Guingamp
1,7450,9827,10242,1,0,4769,2015/2016,Girondins de Bordeaux,ES Troyes AC
2,7451,7819,9830,0,2,4769,2015/2016,SM Caen,FC Nantes
1,7452,6391,9831,3,1,4769,2015/2016,GFC Ajaccio,OGC Nice
2,7453,8639,8592,1,2,4769,2015/2016,LOSC Lille,Olympique de Marseille
3,7454,8689,9851,1,1,4769,2015/2016,FC Lorient,Stade Rennais FC
1,7455,9748,9941,3,0,4769,2015/2016,Olympique Lyonnais,Toulouse FC
1,7456,10249,7794,2,0,4769,2015/2016,Montpellier Hérault SC,SC Bastia
1,7457,9847,9853,4,1,4769,2015/2016,Paris Saint-Germain,AS Saint-Étienne
2,7458,9837,9829,0,1,4769,2015/2016,Stade de Reims,AS Monaco
1,7459,7794,7819,1,0,4769,2015/2016,SC Bastia,SM Caen
1,7460,6391,9827,2,0,4769,2015/2016,GFC Ajaccio,Girondins de Bordeaux
3,7461,9747,8689,2,2,4769,2015/2016,En Avant de Guingamp,FC Lorient
1,7462,9829,8121,1,0,4769,2015/2016,AS Monaco,Angers SCO
2,7463,9830,8592,0,1,4769,2015/2016,FC Nantes,Olympique de Marseille
3,7464,9831,8639,0,0,4769,2015/2016,OGC Nice,LOSC Lille
2,7465,9851,9847,0,1,4769,2015/2016,Stade Rennais FC,Paris Saint-Germain
1,7466,9853,9837,3,0,4769,2015/2016,AS Saint-Étienne,Stade de Reims
3,7467,9941,10249,1,1,4769,2015/2016,Toulouse FC,Montpellier Hérault SC
2,7468,10242,9748,0,1,4769,2015/2016,ES Troyes AC,Olympique Lyonnais
2,7469,8121,9851,0,2,4769,2015/2016,Angers SCO,Stade Rennais FC
1,7470,9827,9829,3,1,4769,2015/2016,Girondins de Bordeaux,AS Monaco
1,7471,7819,9747,2,1,4769,2015/2016,SM Caen,En Avant de Guingamp
3,7472,8639,7794,1,1,4769,2015/2016,LOSC Lille,SC Bastia
1,7473,8689,10242,4,1,4769,2015/2016,FC Lorient,ES Troyes AC
1,7474,9748,9853,3,0,4769,2015/2016,Olympique Lyonnais,AS Saint-Étienne
2,7475,8592,9831,0,1,4769,2015/2016,Olympique de Marseille,OGC Nice
1,7476,10249,9830,2,1,4769,2015/2016,Montpellier Hérault SC,FC Nantes
1,7477,9847,9941,5,0,4769,2015/2016,Paris Saint-Germain,Toulouse FC
2,7478,9837,6391,1,2,4769,2015/2016,Stade de Reims,GFC Ajaccio
2,7479,7794,6391,1,2,4769,2015/2016,SC Bastia,GFC Ajaccio
3,7480,7819,8121,0,0,4769,2015/2016,SM Caen,Angers SCO
1,7481,9747,9941,2,0,4769,2015/2016,En Avant de Guingamp,Toulouse FC
2,7482,8689,9847,1,2,4769,2015/2016,FC Lorient,Paris Saint-Germain
1,7483,9829,9830,1,0,4769,2015/2016,AS Monaco,FC Nantes
