win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
1,15416,10228,8526,3,1,13274,2015/2016,SC Heerenveen,De Graafschap
3,15417,6413,7788,2,2,13274,2015/2016,PEC Zwolle,SC Cambuur
1,15418,9803,9791,3,1,13274,2015/2016,Roda JC Kerkrade,Heracles Almelo
3,15419,10217,8640,2,2,13274,2015/2016,ADO Den Haag,PSV
1,15420,10235,9908,3,2,13274,2015/2016,Feyenoord,FC Utrecht
2,15421,10229,8593,0,3,13274,2015/2016,AZ,Ajax
1,15422,8464,10218,1,0,13274,2015/2016,N.E.C.,Excelsior
3,15423,8674,8611,1,1,13274,2015/2016,FC Groningen,FC Twente
3,15424,8525,8277,1,1,13274,2015/2016,Willem II,Vitesse
2,15425,6413,9908,1,2,13274,2015/2016,PEC Zwolle,FC Utrecht
3,15426,8525,10228,2,2,13274,2015/2016,Willem II,SC Heerenveen
2,15427,8526,9791,0,1,13274,2015/2016,De Graafschap,Heracles Almelo
2,15428,8611,8640,1,3,13274,2015/2016,FC Twente,PSV
2,15429,9803,10218,1,2,13274,2015/2016,Roda JC Kerkrade,Excelsior
3,15430,7788,10217,1,1,13274,2015/2016,SC Cambuur,ADO Den Haag
2,15431,8277,8593,1,3,13274,2015/2016,Vitesse,Ajax
3,15432,8464,8674,1,1,13274,2015/2016,N.E.C.,FC Groningen
1,15433,10235,10229,3,1,13274,2015/2016,Feyenoord,AZ
1,15434,9791,8525,2,1,13274,2015/2016,Heracles Almelo,Willem II
1,15435,8674,6413,2,0,13274,2015/2016,FC Groningen,PEC Zwolle
1,15436,8593,9803,6,0,13274,2015/2016,Ajax,Roda JC Kerkrade
2,15437,10218,8277,0,3,13274,2015/2016,Excelsior,Vitesse
2,15438,8526,8640,3,6,13274,2015/2016,De Graafschap,PSV
1,15439,10217,10235,1,0,13274,2015/2016,ADO Den Haag,Feyenoord
1,15440,10228,7788,2,0,13274,2015/2016,SC Heerenveen,SC Cambuur
1,15441,9908,8611,4,2,13274,2015/2016,FC Utrecht,FC Twente
2,15442,10229,8464,2,4,13274,2015/2016,AZ,N.E.C.
3,15443,9803,10217,1,1,13274,2015/2016,Roda JC Kerkrade,ADO Den Haag
2,15444,8611,10228,1,4,13274,2015/2016,FC Twente,SC Heerenveen
1,15445,8464,8526,2,0,13274,2015/2016,N.E.C.,De Graafschap
2,15446,8525,10218,2,3,13274,2015/2016,Willem II,Excelsior
3,15447,6413,9791,1,1,13274,2015/2016,PEC Zwolle,Heracles Almelo
1,15448,8640,9908,3,1,13274,2015/2016,PSV,FC Utrecht
3,15449,7788,8674,2,2,13274,2015/2016,SC Cambuur,FC Groningen
3,15450,10235,8593,1,1,13274,2015/2016,Feyenoord,Ajax
2,15451,8277,10229,0,2,13274,2015/2016,Vitesse,AZ
1,15452,10229,10228,3,1,13274,2015/2016,AZ,SC Heerenveen
2,15453,9803,6413,0,5,13274,2015/2016,Roda JC Kerkrade,PEC Zwolle
1,15454,8593,7788,5,1,13274,2015/2016,Ajax,SC Cambuur
3,15455,8525,8640,2,2,13274,2015/2016,Willem II,PSV
2,15456,8526,8674,1,2,13274,2015/2016,De Graafschap,FC Groningen
3,15457,9791,10218,0,0,13274,2015/2016,Heracles Almelo,Excelsior
1,15458,10235,8611,5,0,13274,2015/2016,Feyenoord,FC Twente
1,15459,8464,9908,1,0,13274,2015/2016,N.E.C.,FC Utrecht
3,15460,10217,8277,2,2,13274,2015/2016,ADO Den Haag,Vitesse
2,15461,7788,8526,2,3,13274,2015/2016,SC Cambuur,De Graafschap
1,15462,10228,9803,3,0,13274,2015/2016,SC Heerenveen,Roda JC Kerkrade
2,15463,10218,10235,2,4,13274,2015/2016,Excelsior,Feyenoord
2,15464,8611,8525,1,3,13274,2015/2016,FC Twente,Willem II
1,15465,8277,8464,1,0,13274,2015/2016,Vitesse,N.E.C.
2,15466,6413,8593,0,2,13274,2015/2016,PEC Zwolle,Ajax
1,15467,8674,10217,2,1,13274,2015/2016,FC Groningen,ADO Den Haag
1,15468,9908,9791,4,2,13274,2015/2016,FC Utrecht,Heracles Almelo
1,15469,8640,10229,3,0,13274,2015/2016,PSV,AZ
2,15470,10229,10217,0,1,13274,2015/2016,AZ,ADO Den Haag
3,15471,10218,8611,1,1,13274,2015/2016,Excelsior,FC Twente
2,15472,8526,9908,0,1,13274,2015/2016,De Graafschap,FC Utrecht
2,15473,8277,8640,0,1,13274,2015/2016,Vitesse,PSV
1,15474,8593,10228,5,2,13274,2015/2016,Ajax,SC Heerenveen
1,15475,8525,7788,3,0,13274,2015/2016,Willem II,SC Cambuur
1,15476,10235,9791,3,0,13274,2015/2016,Feyenoord,Heracles Almelo
3,15477,8464,6413,2,2,13274,2015/2016,N.E.C.,PEC Zwolle
3,15478,9803,8674,0,0,13274,2015/2016,Roda JC Kerkrade,FC Groningen
1,15479,10228,10218,2,1,13274,2015/2016,SC Heerenveen,Excelsior
1,15480,8611,8526,2,1,13274,2015/2016,FC Twente,De Graafschap
1,15481,7788,8464,3,1,13274,2015/2016,SC Cambuur,N.E.C.
3,15482,8640,9803,1,1,13274,2015/2016,PSV,Roda JC Kerkrade
3,15483,10217,8525,1,1,13274,2015/2016,ADO Den Haag,Willem II
1,15484,9908,8593,1,0,13274,2015/2016,FC Utrecht,Ajax
1,15485,6413,10229,2,1,13274,2015/2016,PEC Zwolle,AZ
3,15486,8674,10235,1,1,13274,2015/2016,FC Groningen,Feyenoord
3,15487,9791,8277,1,1,13274,2015/2016,Heracles Almelo,Vitesse
1,15488,8277,8611,5,1,13274,2015/2016,Vitesse,FC Twente
1,15489,8525,9803,3,2,13274,2015/2016,Willem II,Roda JC Kerkrade
1,15490,9791,8674,2,1,13274,2015/2016,Heracles Almelo,FC Groningen
1,15491,8640,6413,3,2,13274,2015/2016,PSV,PEC Zwolle
3,15492,10229,9908,2,2,13274,2015/2016,AZ,FC Utrecht
2,15493,10218,7788,1,4,13274,2015/2016,Excelsior,SC Cambuur
2,15494,10228,10217,0,4,13274,2015/2016,SC Heerenveen,ADO Den Haag
1,15495,8464,10235,3,1,13274,2015/2016,N.E.C.,Feyenoord
1,15496,8593,8526,2,1,13274,2015/2016,Ajax,De Graafschap
1,15497,8611,9791,4,0,13274,2015/2016,FC Twente,Heracles Almelo
2,15498,7788,8277,0,2,13274,2015/2016,SC Cambuur,Vitesse
1,15499,6413,10228,5,2,13274,2015/2016,PEC Zwolle,SC Heerenveen
2,15500,9803,10229,0,1,13274,2015/2016,Roda JC Kerkrade,AZ
1,15501,8526,10218,2,0,13274,2015/2016,De Graafschap,Excelsior
2,15502,10217,8593,0,1,13274,2015/2016,ADO Den Haag,Ajax
2,15503,10235,8640,0,2,13274,2015/2016,Feyenoord,PSV
2,15504,8674,9908,1,4,13274,2015/2016,FC Groningen,FC Utrecht
1,15505,8464,8525,1,0,13274,2015/2016,N.E.C.,Willem II
3,15506,8674,8464,0,0,13274,2015/2016,FC Groningen,N.E.C.
1,15507,9791,8526,2,1,13274,2015/2016,Heracles Almelo,De Graafschap
1,15508,8593,8277,1,0,13274,2015/2016,Ajax,Vitesse
2,15509,10218,9803,0,1,13274,2015/2016,Excelsior,Roda JC Kerkrade
1,15510,10228,8525,3,1,13274,2015/2016,SC Heerenveen,Willem II
1,15511,10229,10235,4,2,13274,2015/2016,AZ,Feyenoord
1,15512,9908,6413,1,0,13274,2015/2016,FC Utrecht,PEC Zwolle
1,15513,8640,8611,4,2,13274,2015/2016,PSV,FC Twente
1,15514,10217,7788,2,1,13274,2015/2016,ADO Den Haag,SC Cambuur
1,15515,8277,9803,3,0,13274,2015/2016,Vitesse,Roda JC Kerkrade
