win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name/0,team_long_name/1
3,1,9987,9993,1,1,1,2008/2009,KRC Genk,Beerschot AC
3,2,10000,9994,0,0,1,2008/2009,SV Zulte-Waregem,Sporting Lokeren
2,3,9984,8635,0,3,1,2008/2009,KSV Cercle Brugge,RSC Anderlecht
1,4,9991,9998,5,0,1,2008/2009,KAA Gent,RAEC Mons
2,5,7947,9985,1,3,1,2008/2009,FCV Dender EH,Standard de Liège
3,6,8203,8342,1,1,1,2008/2009,KV Mechelen,Club Brugge KV
3,7,9999,8571,2,2,1,2008/2009,KSV Roeselare,KV Kortrijk
2,8,4049,9996,1,2,1,2008/2009,Tubize,Royal Excel Mouscron
1,9,10001,9986,1,0,1,2008/2009,KVC Westerlo,Sporting Charleroi
1,10,8342,8571,4,1,1,2008/2009,Club Brugge KV,KV Kortrijk
2,11,9985,9986,1,2,1,2008/2009,Standard de Liège,Sporting Charleroi
2,12,10000,9991,0,2,1,2008/2009,SV Zulte-Waregem,KAA Gent
3,13,9994,9998,0,0,1,2008/2009,Sporting Lokeren,RAEC Mons
3,14,7947,10001,2,2,1,2008/2009,FCV Dender EH,KVC Westerlo
2,15,8203,9999,1,2,1,2008/2009,KV Mechelen,KSV Roeselare
2,16,9996,9984,0,1,1,2008/2009,Royal Excel Mouscron,KSV Cercle Brugge
2,17,4049,9987,1,3,1,2008/2009,Tubize,KRC Genk
2,18,9993,8635,1,3,1,2008/2009,Beerschot AC,RSC Anderlecht
2,19,8635,9994,2,3,1,2008/2009,RSC Anderlecht,Sporting Lokeren
3,20,9998,9996,0,0,1,2008/2009,RAEC Mons,Royal Excel Mouscron
3,21,9986,8342,2,2,1,2008/2009,Sporting Charleroi,Club Brugge KV
1,22,9984,10000,2,0,1,2008/2009,KSV Cercle Brugge,SV Zulte-Waregem
3,23,9991,7947,1,1,1,2008/2009,KAA Gent,FCV Dender EH
2,24,9999,4049,1,2,1,2008/2009,KSV Roeselare,Tubize
3,25,8571,8203,0,0,1,2008/2009,KV Kortrijk,KV Mechelen
1,26,10001,9987,1,0,1,2008/2009,KVC Westerlo,KRC Genk
2,27,9993,9985,1,3,1,2008/2009,Beerschot AC,Standard de Liège
3,28,8342,8635,1,1,1,2008/2009,Club Brugge KV,RSC Anderlecht
3,29,9987,9999,1,1,1,2008/2009,KRC Genk,KSV Roeselare
